"Name","Version","License","Author","URL"
"distro","1.8.0","Apache Software License","Nir Cohen","https://github.com/python-distro/distro"
"django-axes","5.39.0","MIT License","Josh VanderLinden, Philip Neustrom, Michael Blume, Alex Clark, Camilo Nova, Aleksi Hakli","https://github.com/jazzband/django-axes"
"django-contact-form","2.0.1","BSD License","James Bennett","https://github.com/ubernostrum/django-contact-form/"
"django-ipware","4.0.2","MIT License","Val Neekman","https://github.com/un33k/django-ipware"
"django-registration","3.3","BSD License","James Bennett","https://github.com/ubernostrum/django-registration/"
"django-stubs","1.13.0","MIT License","Maksim Kurnikov","https://github.com/typeddjango/django-stubs"
"django-stubs-ext","0.7.0","MIT License","Simula Proxy","https://github.com/typeddjango/django-stubs"
"docopt","0.6.2","MIT License","Vladimir Keleshev","http://docopt.org"
"dparse","0.6.2","MIT License","Jannis Gebauer","https://github.com/pyupio/dparse"
"exceptiongroup","1.0.2","MIT License","UNKNOWN","UNKNOWN"
"filelock","3.8.0","Public Domain","Benedikt Schmitt","https://github.com/tox-dev/py-filelock"
"flake8","5.0.4","MIT License","Tarek Ziade","https://github.com/pycqa/flake8"
"fuzzywuzzy","0.18.0","GNU General Public License v2 (GPLv2)","Adam Cohen","https://github.com/seatgeek/fuzzywuzzy"
"gitdb","4.0.9","BSD License","Sebastian Thiel","https://github.com/gitpython-developers/gitdb"
"h11","0.14.0","MIT License","Nathaniel J. Smith","https://github.com/python-hyper/h11"
"icalendar","5.0.2","BSD License","Plone Foundation","https://github.com/collective/icalendar"
"idna","3.4","BSD License","UNKNOWN","UNKNOWN"
"iniconfig","1.1.1","MIT License","Ronny Pfannschmidt, Holger Krekel","http://github.com/RonnyPfannschmidt/iniconfig"
"isort","5.10.1","MIT License","Timothy Crosley","https://pycqa.github.io/isort/"
"jedi","0.18.1","MIT License","David Halter","https://github.com/davidhalter/jedi"
"lazy-object-proxy","1.8.0","BSD License","Ionel Cristian Mărieș","https://github.com/ionelmc/python-lazy-object-proxy"
"lxml","4.9.1","BSD License","lxml dev team","https://lxml.de/"
"lxml-stubs","0.4.0","Apache Software License","UNKNOWN","UNKNOWN"
"mccabe","0.7.0","MIT License","Tarek Ziade","https://github.com/pycqa/mccabe"
"mypy","0.990","MIT License","Jukka Lehtosalo","http://www.mypy-lang.org/"
"mypy-extensions","0.4.3","MIT License","The mypy developers","https://github.com/python/mypy_extensions"
"numpy","1.23.4","BSD License","Travis E. Oliphant et al.","https://www.numpy.org"
"outcome","1.2.0","Apache Software License; MIT License","Frazer McLean","https://github.com/python-trio/outcome"
"packaging","21.3","Apache Software License; BSD License","Donald Stufft and individual contributors","https://github.com/pypa/packaging"
"pandas","1.5.1","BSD License","The Pandas Development Team","https://pandas.pydata.org"
"parso","0.8.3","MIT License","David Halter","https://github.com/davidhalter/parso"
"pathspec","0.10.2","Mozilla Public License 2.0 (MPL 2.0)","Caleb P. Burns","https://github.com/cpburnz/python-pathspec"
"pbr","5.11.0","Apache Software License","OpenStack","https://docs.openstack.org/pbr/latest/"
"pipenv","2022.11.11","MIT License","Pipenv maintainer team","https://github.com/pypa/pipenv"
"platformdirs","2.5.4","MIT License","UNKNOWN","UNKNOWN"
"pluggy","1.0.0","MIT License","Holger Krekel","https://github.com/pytest-dev/pluggy"
"prompt-toolkit","3.0.32","BSD License","Jonathan Slenders","https://github.com/prompt-toolkit/python-prompt-toolkit"
"psycopg2","2.9.5","GNU Library or Lesser General Public License (LGPL)","Federico Di Gregorio","https://psycopg.org/"
"psycopg2-binary","2.9.5","GNU Library or Lesser General Public License (LGPL)","Federico Di Gregorio","https://psycopg.org/"
"ptpython","3.0.20","UNKNOWN","Jonathan Slenders","https://github.com/prompt-toolkit/ptpython"
"pycodestyle","2.9.1","MIT License","Johann C. Rocholl","https://pycodestyle.pycqa.org/"
"pydocstyle","6.1.1","MIT License","Amir Rachum","https://github.com/PyCQA/pydocstyle/"
"pyflakes","2.5.0","MIT License","A lot of people","https://github.com/PyCQA/pyflakes"
"pylama","8.4.1","MIT License","Kirill Klenov","https://github.com/klen/pylama"
"pylint","2.15.5","GNU General Public License v2 (GPLv2)","UNKNOWN","UNKNOWN"
"pylint-django","2.5.3","UNKNOWN","landscape.io","https://github.com/PyCQA/pylint-django"
"pylint-plugin-utils","0.7","UNKNOWN","Python Code Quality Authority","https://github.com/PyCQA/pylint-plugin-utils"
"pyparsing","3.0.9","MIT License","UNKNOWN","UNKNOWN"
"pytest","7.2.0","MIT License","Holger Krekel, Bruno Oliveira, Ronny Pfannschmidt, Floris Bruynooghe, Brianna Laugher, Florian Bruhin and others","https://docs.pytest.org/en/latest/"
"pytest-django","4.5.2","BSD License","Andreas Pelme","https://pytest-django.readthedocs.io/"
"python-Levenshtein","0.20.8","GNU General Public License v2 or later (GPLv2+)","Max Bachmann","https://github.com/maxbachmann/python-Levenshtein"
"python-dateutil","2.8.2","Apache Software License; BSD License","Gustavo Niemeyer","https://github.com/dateutil/dateutil"
"pytoolconfig","1.2.2","UNKNOWN","UNKNOWN","UNKNOWN"
"pytz","2022.6","MIT License","Stuart Bishop","http://pythonhosted.org/pytz"
"rapidfuzz","2.13.2","MIT License","Max Bachmann","https://github.com/maxbachmann/RapidFuzz"
"requests","2.28.1","Apache Software License","Kenneth Reitz","https://requests.readthedocs.io"
"returns","0.19.0","BSD License","sobolevn","https://returns.readthedocs.io"
"rope","1.4.0","GNU Lesser General Public License v3 or later (LGPLv3+)","UNKNOWN","UNKNOWN"
"sauceclient","1.0.0","Apache Software License","Corey Goldberg","https://github.com/cgoldberg/sauceclient"
"selenium","4.6.0","Apache Software License","UNKNOWN","https://www.selenium.dev"
"six","1.16.0","MIT License","Benjamin Peterson","https://github.com/benjaminp/six"
"smmap","5.0.0","BSD License","Sebastian Thiel","https://github.com/gitpython-developers/smmap"
"sniffio","1.3.0","Apache Software License; MIT License","Nathaniel J. Smith","https://github.com/python-trio/sniffio"
"snowballstemmer","2.2.0","BSD License","Snowball Developers","https://github.com/snowballstem/snowball"
"sortedcontainers","2.4.0","Apache Software License","Grant Jenks","http://www.grantjenks.com/docs/sortedcontainers/"
"sqlparse","0.4.3","BSD License","Andi Albrecht","https://github.com/andialbrecht/sqlparse"
"stevedore","4.1.1","Apache Software License","OpenStack","https://docs.openstack.org/stevedore/latest/"
"tabula-py","2.5.1","MIT License","Aki Ariga","https://github.com/chezou/tabula-py"
"toml","0.10.2","MIT License","William Pearson","https://github.com/uiri/toml"
"tomli","2.0.1","MIT License","UNKNOWN","UNKNOWN"
"tomlkit","0.11.6","MIT License","Sébastien Eustace","https://github.com/sdispater/tomlkit"
"trio","0.22.0","Apache Software License; MIT License","Nathaniel J. Smith","https://github.com/python-trio/trio"
"trio-websocket","0.9.2","MIT License","Mark E. Haase","https://github.com/HyperionGray/trio-websocket"
"types-PyYAML","6.0.12.2","Apache Software License","UNKNOWN","https://github.com/python/typeshed"
"types-pytz","2022.6.0.1","Apache Software License","UNKNOWN","https://github.com/python/typeshed"
"types-requests","2.28.11.4","Apache Software License","UNKNOWN","https://github.com/python/typeshed"
"types-urllib3","1.26.25.3","Apache Software License","UNKNOWN","https://github.com/python/typeshed"
"typing_extensions","4.4.0","Python Software Foundation License","UNKNOWN","UNKNOWN"
"urllib3","1.26.12","MIT License","Andrey Petrov","https://urllib3.readthedocs.io/"
"virtualenv","20.16.7","MIT License","Bernat Gabor","https://virtualenv.pypa.io/"
"virtualenv-clone","0.5.7","MIT License","Edward George","https://github.com/edwardgeorge/virtualenv-clone"
"wrapt","1.14.1","BSD License","Graham Dumpleton","https://github.com/GrahamDumpleton/wrapt"
"wsproto","1.2.0","MIT License","Benno Rice","https://github.com/python-hyper/wsproto/"
